,Date,Close,Volume
5467,2014-09-04,375.0,10
5468,2014-09-05,370.0,2200
5469,2014-09-08,370.0,395
5470,2014-09-09,385.0,1
5471,2014-09-11,370.1,8
5472,2014-09-12,371.0,6
5473,2014-09-15,365.5,230
5474,2014-09-16,370.0,510
5475,2014-09-17,365.2,290
5476,2014-09-18,366.0,250
5477,2014-09-19,370.7,300
5478,2014-09-22,370.0,4015
5479,2014-09-23,370.0,3539
5480,2014-09-24,370.0,284
5481,2014-09-25,369.8,582
5482,2014-09-26,366.9,250
5483,2014-09-29,370.0,1206
5484,2014-09-30,369.9,887
5485,2014-10-01,370.9,3103
5486,2014-10-02,370.0,80
5487,2014-10-03,370.1,50
5488,2014-10-06,370.0,1600
5489,2014-10-08,375.0,2100
5490,2014-10-10,375.0,94
5491,2014-10-13,370.0,4494
5492,2014-10-16,370.0,73
5493,2014-10-20,372.3,396
5494,2014-10-22,370.0,75
5495,2014-10-23,370.0,45
5496,2014-10-24,372.0,95
5497,2014-10-27,370.6,1815
5498,2014-10-28,370.5,1520
5499,2014-10-29,371.0,145
5500,2014-10-30,380.0,52
5501,2014-11-03,375.2,517
5502,2014-11-04,370.0,787
5503,2014-11-05,380.0,15
5504,2014-11-06,380.0,122
5505,2014-11-07,370.6,559
5506,2014-11-10,375.0,70
5507,2014-11-11,375.0,100
5508,2014-11-13,370.0,2185
5509,2014-11-14,373.8,2097
5510,2014-11-17,373.5,5
5511,2014-11-18,370.4,628
5512,2014-11-19,370.0,3644
5513,2014-11-20,370.0,36
5514,2014-11-21,365.0,468
5515,2014-11-24,365.0,280
5516,2014-11-25,365.0,60
5517,2014-11-26,365.0,3
5518,2014-11-27,365.0,66
5519,2014-11-28,365.3,5168
5520,2014-12-01,378.0,160
5521,2014-12-02,375.0,50
5522,2014-12-03,375.0,950
5523,2014-12-05,375.0,11
5524,2014-12-08,377.9,86
5525,2014-12-10,375.0,905
5526,2014-12-11,377.9,2
5527,2014-12-12,379.8,793
5528,2014-12-15,375.1,8000
5529,2014-12-18,420.0,58
5530,2014-12-19,386.7,16
5531,2014-12-22,375.1,5000
5532,2014-12-23,375.1,65
5533,2014-12-24,377.0,48
5534,2014-12-25,375.4,2000
5535,2015-01-05,375.1,1600
5536,2015-01-07,375.0,4900
5537,2015-01-09,370.1,75
5538,2015-01-10,370.0,1750
5539,2015-01-13,375.0,1600
5540,2015-01-14,375.0,762
5541,2015-01-15,375.0,8
5542,2015-01-16,375.0,38
5543,2015-01-20,370.3,223
5544,2015-01-21,370.0,53
5545,2015-01-26,370.0,3
5546,2015-01-27,370.0,28
5547,2015-01-29,368.0,2805
5548,2015-01-30,368.0,353
5549,2015-02-02,370.0,2623
5550,2015-02-03,370.0,2
5551,2015-02-04,370.0,105
5552,2015-02-05,361.0,1310
5553,2015-02-06,361.0,735
5554,2015-02-10,360.1,3406
5555,2015-02-11,368.6,110
5556,2015-02-12,365.0,1661
5557,2015-02-13,362.5,570
5558,2015-02-16,362.7,350
5559,2015-02-17,358.6,2108
5560,2015-02-18,360.4,2115
5561,2015-02-23,362.0,150
5562,2015-02-24,360.6,350
5563,2015-02-25,355.5,1093
5564,2015-02-26,360.0,52
5565,2015-02-27,359.3,200
5566,2015-03-02,359.1,175
5567,2015-03-03,353.2,1472
